희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
기술매매,숙박시설 정보의 전달을 극대화시키는 3D영상 처리 기술,00000005120,컨설팅완료,9개월이내,"○ 기술 개요
· 한국 숙소를 전문으로 여행객에게 다양한 서비스를 온라인에 구축하고 제공함으로써 특별하고 다양한 숙소를 발굴하는 전문 서비스 기술

○ 기술 특징
· 숙박시설의 내·외부 시설이 2차원적 사진 이미지로 내용을 전달하는 것은 한계가 있으나 시설을 3D영상으로 볼 수 있도록 온라인 환경을 구성한다면 전달에 대한 효과가 발생하므로 이를 위한 3D영상 처리 기술이 필요함","숙박시설,3D영상,정보전달,온라인 서비스,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,태양광과 전기가 결합된 경관 조명기구,00000005121,컨설팅완료,12개월이내,"○ 기술 개요
· 도시의 야간을 빛으로 장식하고 미화해서 도시의 품위를 높여주고 야경을 아름답게 조성하는 연출효과를 볼 수 있는 기술

○ 기술 특징
· 지면이나 벽면에 대한 설치각도를 조절함으로써 경관조명 대상물에 대한 빛의 조사방향과 조도 등을 자유롭게 조절할 수 있는 구조의 경관조명용 등기구에 대한 기술이 필요함.","태양광,조명기구,설치각도,조사방향,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,기능성 화장품 조성물인 천연물의 효능,00000005122,컨설팅완료,12개월이내,"○ 기술 개요
· 자사 기초화장품 라인 및 메이크업 라인을 구성하는 화장품에 들어가는 기능성 화장품 조성물인 천연물의 효능을 검증하는 기술

○ 기술 특징
· 효능이 높은 화장품 개발을 위하여 화장품의 원료가 되는 천연물에 대한 피부안전성, 기능성 효과 및 멀티기능 발현 기술에 대하여 과학적으로 검증할 수 있는 천연물 효능 검증 기술이 필요함.","기능성 화장품,천연물,효능검증,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,로봇 청소기 이동경로 다양성 기능 구현 기술,00000005123,컨설팅완료,6개월이내,"○ 기술 개요
· 로봇 청소기는 기본적으로 인공지능을 탑재하여 가장 효율적인 방법으로 청소할 수 있는 영역의 개수와 최적의 이동 경로 등을 인식하고 계산하여 현재 위치에서 현재 방향을 기준으로 왼쪽방향부터 차례대로 탐색하고 구동하는 알고리즘이 일반적인 형태

○ 기술 특징
· 다양한 알고리즘의 부재현상으로 로봇 청소기의 움직임이 단순하여 청소의 효과가 떨어지는 문제점이 지적되고 있으므로 이를 해결하기 위한 로봇 청소기의 움직이는 다양한 기능을 구현할 수 있는 알고리즘의 개발이 필요함.","로봇 청소기,이동경로,인공지능,위치인식,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,콘텐츠 원작을 활용한 다양한 지식재산인 콘텐츠IP을 발굴하는 기술,00000005124,컨설팅완료,12개월이내,"○ 기술 개요
· 콘텐츠 캐릭터, 프랜차이즈 및 포맷-리메이크 등 콘텐츠 원작을 활용한 다양한 지식재산인 콘텐츠IP을 발굴하는 기술

○ 기술 특징
· 애니메이션 시청 연령층의 확장으로 애니메이션 캐릭터를 활용한 소비재 상품뿐 아니라 애니메이션의 IP를 이용해 게임 등 다른 분야의 콘텐츠를 제작하거나 반대로 다른 콘텐츠의 IP를 활용해 애니메이션을 제작하는 사례가 증가함. 
· 인기를 얻은 후 다른 콘텐츠로 이동하는 기존 원소스 멀티 유즈(OSMU)사례와 달리 기획과 투자 단계부터 하나의 IP를 이용하여 콘텐츠를 다각화하는 전략으로 발전해 단순한 수익 창출을 넘어 IP 가치 증대 역시 중요한 목적이 됨.","애니메이션,콘텐츠,지식재산,IP,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,라이센스",표고버섯으로부터 비타민 D2를 수득하는 방법(노하우),00000005125,기술이전계약,3개월이내,표고버섯으로부터 비타민 D2를 수득하는 방법,"표고버섯,비타민,비타민D2,,",(재)장흥군버섯산업연구원,신제품 개발,"우선적으로 기술이전을 희망합니다.
(전남TP 담당자로 배정부탁드립니다.)",협의후 결정,전용실시권,30000000,기술이전 중개료 0원,0,전남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",가상 현실 재활콘텐츠 기술,00000005126,기술이전계약,3개월이내,"가상현실 기반의 어지러움증 재활콘텐츠
운동기능, 균형, 감각과 관절 기능 측정 등 재활 훈련
관련질환등 치료용 의료기기","재활,가상현실,의료,치료,재활 훈련",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,10000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",사물인터넷 보안 기술,00000005127,기술이전계약,3개월이내,"사물인터넷 보안 기술 자문 및 교육
사물인터넷 디바이스, 플랫폼, 운영체제, 통신 보안기술 디바이스 관리 및 모니터링 
강력한 보안, 암호화, 전력소모, 운영체계, 업데이트 가능한 펌웨어, 임베디드 등 기술자문","사물인터넷,IoT,보안,,",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,15000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",인모가발 제조 기술,00000005128,기술이전계약,3개월이내,"인모 가발 및 그의 제조방법
실리콘과 단백질을 접착시킨 인모가발 제조","가발,인모,제조,실리콘,탈모",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),2000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",초소형 내시경 카메라 진단기술,00000005129,기술이전계약,3개월이내,"초소형 내시경 카메라를 이용한 중이 및 고막 질환 진단기기
MRI의 정밀 검사로도 확인되지 않는 미세한  손상 진단 및 치료
미세한 손상까지도 실시간 진단하여 정확한 상태 파악","내시경,고막,카메라,중이,질환",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,20000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",보행 모니터링 기술,00000005130,기술이전계약,3개월이내,"보행습관 측정/분석 및 모니터링 기술
시선의 위치, 어깨균형, 구부린 팔의 각도, 걸음속도 등 네 가지 보행습관을 측정
걸음걸이 교정 등","모니터링,보행,측정,교정,웨어러블",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,10000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",액상제제의 고체제화 기술,00000005131,기술이전계약,3개월이내,"액상제제의 고체제제화시 부형제 및 첨가제를 최소화한 정제의 제조
고체액상 정제 기술","액상,고체제,정제,제조,고체화",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,5000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",CNT-FET 측정기술,00000005132,기술이전계약,3개월이내,"CNT-FET를 이용한 KRAS 돌연변이 측정기술
고순도 반도체형 CNT-FET 극미세 측정 검출 기술","CNT-FET,KRAS,측정,돌연변이,나노",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,노하우이전,10000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",통신회로 설계 기술,00000005133,컨설팅매칭,3개월이내,"IoT RF시스템을 위한 통신 회로 설계 및 측정 방법
유한요소 영역 분할법, 3D 모멘트법, 하이브리드, 슈팅과 바운싱 레이(Shooting and Bouncing Ray) 전자파 수치해석 기술","IoT,RF시스템,통신 회로 ,설계,측정",협의후 결정,신제품 개발,협의에 의함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",웰니스 컨텐츠 분석 기술,00000005134,기술이전계약,3개월이내,"웰니스 컨텐츠에 대한 SNS(DISCO) 내용분석기술
스마트 웰니스 기술기반 에너지 분석 시스템","웰니스,컨텐츠,SNS(DISCO),분석,기술",순천향대학교 산학협력단,신제품개발,협의에 의함,협의후 결정,전용실시권,30000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",IoT 암호화 기기 기술,00000005135,기술이전계약,3개월이내,"IoT 기기용 암호화 엔진 경량화
IoT 시스템에 가장 적합한 보안 솔루션
보안 IC와 소프트웨어를 결합한 효율적인 보안 기술","IoT,기기,암호,엔진,통신",순천향대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,전용실시권,11000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스",화장실에서 헬스케어가 가능한 기술,00000005136,사업화모니터링,3개월이내,동사는 냄새탈취기 등 화장실에서의 IT기술을 접목하여 특화한 기업으로 화장실에서 헬스케어가 가능한 기술을 필요로 함,"헬스케어,화장실,,,",경북대학교 산학협력단,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,전용실시권,100000000,협의후 결정,0,경북,2026-07-10,4
"기술매매,라이센스",나노섬 마스크를 이용한 대면적 무반사 나노구조를 구비하는 렌즈,00000005137,사업화모니터링,3개월이내,동사는 의료기기 특히 내시경 관련 부품 및 전체 시스템을 개발하는 회사로 나노섬 마스크를 이용한 대면적 무반사 나노구조를 구비하는 렌즈에 관심이 있음.,"나노섬,렌즈,,,",한국과학기술원,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,전용실시권,100000000,매출액의 3.2%,0,경북,2026-07-10,4
"기술매매,라이센스",파이프(배관)의 연결과 관련된 기술,00000005138,컨설팅완료,3개월이내,"시스템배관은 아파트, 오피스텔 등 다양한 건설현장에 사용되는 파이프(배관)을 고객의 요구사항에 따라 직접 가공하여 현장에 납품하거나, 직접 현장에서 조립(용접)을 하는 사업을 영위하고자 한다. 해당 사업은 초기에는 기존의 등록된 거래기업에 하청을 받거나 제조의뢰를 받아서 사업을 영위해야 하므로, 단가경쟁력이나 기술경쟁력을 갖추어야 기술이 필요하다.","파이프,배관,,,",협의후 결정,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
라이센스,구조물 점검 로봇 기술,00000005139,사업화모니터링,3개월이내,"- 교량 하부의 다양하고 복잡한 상황에 맞게 촬영이 가능한 로봇 기술
- 로봇이 중력방향으로 뒤집어 졌을 때 구조물 점검 로봇이 아래쪽으로 쏟아지는 것을 방지할 수 있는 기술","구조물 점검,로봇,,,",한양대 에리카 산학협력단,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,통상실시권,0,매출액의 3%,0,경북,2026-07-10,4
기술매매,지질 탐사에 관한 기술,00000005140,기술이전계약,3개월이내,지질 탐사에 관한 기술,"탐사,지질,,,",해양대학교,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,전용실시권,22000000,협의후 결정,0,부산,2026-07-10,4
기술매매,구조물 진동 위치 추적 방법 및 시스템,00000005141,기술이전계약,3개월이내,구조물 진동 위치 추적 방법 및 시스템,"구조물,진동,위치 추적,,",(재)포하사넙과학연구원,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,기술양도(매매),3300000,협의후 결정,0,부산,2026-07-10,4
기술매매,입체영상 인코딩 장치 및 방법,00000005142,기술이전계약,3개월이내,입체영상 인코딩 장치 및 방법,"입체영상,인코딩,,,",단국대학교 기술지주회사,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,기술양도(매매),27500000,협의후 결정,0,부산,2026-07-10,4
기술매매,"관람 가이드를 제공하는 방법 및 제공 서버, 단말",00000005143,기술이전계약,3개월이내,"관람 가이드를 제공하는 방법 및 제공 서버, 단말","관람,가이드,서버,,",전자부품연구원,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,기술양도(매매),3300000,협의후 결정,0,부산,2026-07-10,4
라이센스,양방향 통신을 지원하는 물류 IoT 통신 시스템 및 방법,00000005144,기술이전계약,3개월이내,양방향 통신을 지원하는 물류 IoT 통신 시스템 및 방법,"양방향 통신,IOT,,,",동아대학교,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,기술양도(매매),55000000,협의후 결정,0,부산,2026-07-10,4
라이센스,리튬 이차전지용 양극활물질 기술,00000005145,기술이전계약,3개월이내,"- 코팅기술의 불균일한 코팅과는 달리 파우더 코팅 장치를 이용하여 원자층증착기술 시퀀스 레시피를 통해 균일하고 정밀한 두께의 코팅이 이루어진 리튬이차전지용 양극활물질 기술
- 구조적 안정성을 향상시켜 배터리의 수명을 늘릴 수 있는 기술","리튬 이차전지,양극활물질,,,",한양대 에리카 산학협력단,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,통상실시권,0,협의후 결정,500000,경북,2026-07-10,4
"기술매매,라이센스",차량출입 제어시스템 기술,00000005146,사업화모니터링,3개월이내,"- 차량의 룸미러 관리 및 운용의 편리성을 높일 수 있는 기술
- 차량 정보를 갖는 칩을 착탈 가능하도록 하고, 차량의 출입제어를 위하여 별도의 태그나 표시장치를 구성하지 않으므로 시스템 구축이 용이함","자동차,룸미러,차량출입 제어시스템,,",조병우,신제품 개발,협의/경북 컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,통상실시권,16500000,협의후 결정,0,경북,2026-07-10,4
라이센스,차량 사고 예방 기술,00000005147,사업화모니터링,3개월이내,"- 효율적으로 사고를 예방할 수 있는 기술
- 후방의 위험 감지 시 차량의 도어를 자동으로 잠금 상태가 되도록 하여 사고 예방 및 탑승자 안전을 보장할 수 있는 기술","후방카메라,자동차 사고,오토락,,",임현규,신제품 개발,협의/경북컨소시엄 전성천 컨설턴트 배정 바랍니다.,협의후 결정,통상실시권,16500000,협의후 결정,0,경북,2026-07-10,4
"기술매매,라이센스",RTGG 방법에 의한 무연 압전 세라믹스의 제조방법 및 그에 의해 제조된 무연 압전 세라믹스,00000005148,기술이전계약,3개월이내,"RTGG방법에 의한 무연 압전 세라믹스의 제조방법, 그 제조방법으로 제조된 무연 압전 세라믹스","RTGG,무연압전,세라믹,,",협의후 결정,신제품개발 및 신기술 개발,"우선적으로 기술이전(전용실시권, 매매, 양도)을 희망합니다.
(전남TP 담당자로 배정 부탁드립니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",알루미나 세라믹 접합체 제조방법 및 그 접합체를 이용한 알루미나 세라믹 접합방법,00000005149,기술이전계약,3개월이내,알루미나 세라믹 접합체 제조방법 및 그 접합체를 이용한 알루미나 세라믹 접합방법,"세라믹,접합체,알루미나,,",협의후 결정,신제품 개발 및 신기술 게발,"우선적으로 기술이전(전용실시권, 매매, 양도)을 희망합니다.",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",기상 공정에 의해 합성된 적층 세라믹 커패시터용 금속-세라믹 코어-쉘 구조의 복합체 분말 및 이의 제조방법,00000005150,기술이전계약,3개월이내,기상공정에 의해 금속-세라믹 코어-쉘 구조의 복합체 분말을 제조하는 신규 제조방법 및 상기 제조방법에 의해 제조된 적층 세라믹 커패시터용 금속-세라믹 코어-쉘 구조의 복합체 분말을 제공한다.,"기살공정,세라믹,적층세라믹,쉘 구조,",협의후 결정,신제품 개발 및 신기술 개발,"우선적으로 기술이전(매매, 양수,전용실시권)을 희망합니다.
(전남TP 담당자로 배정 바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",세라믹 코어 및 그의 제조방법,00000005151,기술이전계약,3개월이내,세라믹 코어를 제조하는 방법,"세라믹,코어,제조방법,,",창원대학교 산학협력단,신제품개발 및 신기술개발,"우선적으로 기술이전(매매, 양수,전용실시권)을 희망합니다.
(전남TP 담당자로 배정 바랍니다.)",협의후 결정,기술양도(매매),33000000,기술이전 중개료 0원,0,전남,2026-07-10,4
"기술매매,라이센스",자성체 코어-세라믹 쉘 나노 결정 및 그의 제조방법,00000005152,기술이전계약,3개월이내,"코어-쉘 구조는, 마그네타이트 전구체를 환원하여 코어에 해당하는 마그네타이트 시드를 형성한 후, 연속적으로 Ca3(PO4)2 전구체를 환원하여 마그네타이트 위에 Ca3(PO4)2 을 코팅하는 과정으로 합성하며, 다기능 복합 자성체 코어(core) - 세라믹 쉘(shell) 얻을 수 있다.","자성체,코어,세라믹,쉘,",협의후 결정,신제품개발 및 신기술 개발,"우선적으로 기술이전(전용실시권, 매매, 양도)을 희망합니다.
(전남TP 담당자로 배정부탁드립니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",충격흡수 신발 밑창 제조 기술,00000005153,기술이전계약,6개월이내,"탁월한 착화감을 제공하는 이중충격 흡수 신발밑창
산행 시 발 뒤쪽뿐만 아니라 앞쪽에서도 발생할 수 있는 뒤틀림을 방지해주며 이중으로 충격을 흡수","신발,충격,흡수,밑창,제조",(주)경남코프레이션,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),22000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",다중 충격흡수 신발 제조기술,00000005154,기술이전계약,6개월이내,"이종경도에 의한 다중 충격흡수 신발 밑창
 밑창의 경도와 두께에 따른 족저근막염 방지 신발제조 기술 지면의 충격력 감소 기술","충격 흡수,이종경도,신발,밑창,제조",(주)경남코프레이션,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),30000000,협의후 결정,0,충남,2026-07-10,4
기술매매,도로표지판 및 지주에  관한 기술,00000005155,컨설팅매칭,3개월이내,"1. 도로표지판 지주체결에관한 기술  NTB S2003011336  같은 기술
2. 도로표지판   결로방지기술,  내구성증대, 강도높이는기술  등 -  LED활용기술은 제외
3. 그외  도로교량업을 하는  업체에  꼭 필요한 기술","표지판,결로방지,고강도,지주,체결방법",협의후 결정,재도전  공공기술 연계지원사업에  신청,"재도전  공공기술 연계지원사업에  신청하고자함
매각 연구원에서  기술개발에  참여요망함",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경남,2026-07-10,3
기술매매,SCADA 통신보안을 위한 다중 암호화장치 및 그방법,00000005156,컨설팅매칭,12개월이내,SCADA 네트워크의 end-to-end 통신의 암호화를 수행하는 과정에서 발생할 수 있는 외부 침입에 대비할 수 있는 SCADA 통신 보안을 위한 다중 암호화 장치 및 그 방법에 대해서 검토하고자 함,"SCADA,통신보안,암호화,장치,",협의후 결정,신제품 개발 및 사업확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,전력계통의 운전예비력 공급시스템 및 그 제어방법,00000005157,컨설팅매칭,3개월이내,전력계통의 운전예비력 공급시스템 및 그 제어방법,"전력계통,운전예비력,공급시스템,제어기술,",협의후 결정,신기술 개발 및 사업확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,중금속 오염토양 복원방법,00000005158,컨설팅매칭,3개월이내,중금속 오염토양 복원방법,"중금속,토양,복원,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,결상 보호용 3상 컨버터 시스템 및 그 제어방법,00000005159,컨설팅매칭,3개월이내,결상 보호용 3상 컨버터 시스템 및 그 제어방법,"컨버터,결상보호,,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,공기 중 산소 초전도 자기분리장치,00000005160,컨설팅매칭,3개월이내,공기 중 산소 초전도 자기분리장치,"산소,초전도,자기분리,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,마이크로그리드 시스템 및 정지형 스위치의 부하제어 방법,00000005161,컨설팅매칭,6개월이내,마이크로그리드 시스템 및 정지형 스위치의 부하제어 방법,"마이크로그리드,정지형 스위치,부하제어,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력",분산전원의 단독운전 검출기능 시험용 부하장치 및 그 제어방법,00000005162,컨설팅매칭,6개월이내,분산전원의 단독운전 검출기능 시험용 부하장치 및 그 제어방법,"분산전원,단독운전,검출,부하장치,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스",인버터 보호장치 및 그 방법,00000005163,컨설팅매칭,6개월이내,인버터 보호장치 및 그 방법,"인버터,,,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스",횡자속 선형 전동기의 고정부 진동 저감 장치,00000005164,컨설팅매칭,6개월이내,횡자속 선형 전동기의 고정부 진동 저감 장치,"전동기,진동 저감,,,",협의후 결정,신기술 개발 및 사업 확장,부산테크노파크 안장근 과장 기술 발굴 및 기술이전 중개 희망 함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스",매생이 가루를 첨가한 쌀국수 제조방법 및 조성물,00000005165,기술이전계약,3개월이내,매생이를 이용한 쌀국수룰 제조하는 방법,"매생이,쌀국수,제조방법,,",협의후 결정,신제품 개발,"우선적으로 기술이전(전용실시)을 희망합니다.
(전남TP 담당자로 배정바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",황칠성분이 포함된 쌀국수 제조방법,00000005166,기술이전계약,3개월이내,황칠나무 성분을 이용한 쌀국수 제조방법,"황칠,황칠나무,쌀국수,,",협의후 결정,신제품 개발,"우선적으로 기술이전(전용실시권)을 희망합니다.
(전남TP 담당자로 배정바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",고구마 줄기를 이용한 국수제조방법,00000005167,기술이전계약,3개월이내,고구마줄기를 이용한 국수을 제조하는 방법,"고구마,고구마줄기,국수,제조,",협의후 결정,신제품개발,"우선적으로 기술이전(전용실시) 희망합니다.
(전남TP 담당자로 배정바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",시설하우스의 온도 습도를 제어하는 환기 히팅 시스템,00000005168,기술이전계약,3개월이내,시설하우스나 비밀하우스에서 온도 및 습도를 제어하는 환기 히틍 시스템,"시설하우스,하우스,온도,습도,환기",협의후 결정,기존제품 향상 및 신제품 개발,"우선적으로 기술이전(전용실시,  통상실시)을 희망합니다.
(전남TP 담당자로 배정 부탁드립니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",함초 추출물을 포함하는 음료 제작방법,00000005169,기술이전계약,3개월이내,함초를 이용하거나 하거나 함초출출물을 이용한 음료 제조방법,"함초,음료,,,",협의후 결정,신제품 개발,"기술이전을 희망합니다.
(전남TP 담당자로 배정바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"기술매매,라이센스",함초 발효음료 제조방법,00000005170,기술이전계약,3개월이내,함초를 이용하거나 함초를 발효시켜서 음료를 제조방법,"함초,함초발효,함초효소,음료,",협의후 결정,신제품 개발,"우선적으로 기술이전을 희망합니다.
(전남TP 담당자로 배정바랍니다.)",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,3
"라이센스,기술지도",밸브에 의하여(원웨이 밸브) 반대로 유입되지 않는 장치,00000005171,컨설팅매칭,6개월이내,"원웨이 밸브는 유체의 정방향 흐름은 허용하면서 유체의 역류를 방지하고자 하는곳에 사용되며, 유체의 일방향의 흐름을 단속하고 다은 일방향의 흐름을 갖기 위해 강한 지지구조가 필요","원웨이밸브,단방향밸브,역류방지,비강세척기,",협의후 결정,기존제품개선,추후 협의진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
라이센스,이동식 공해방지 장치 및 집진기,00000005172,컨설팅매칭,3개월이내,플라스틱 압출 및 사출 시 발생하는 분진 방지 및 집진기 제조 희망,"이동식 집진기,집진,분진,집진장치,",협의후 결정,기존제품개선,추후 협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
"라이센스,기술지도",조명등 제어에 적용 가능한 무전원 리모콘,00000005173,컨설팅매칭,6개월이내,"리모콘의 버튼을 누르는 힘으로 송신파를 만들어 전송하며, 배터리 불필요로 배터리 교체에 대한 불편 없고, 배터리 소모에 의한 작동 중지가 없는 기술개발이 필요함","조명등 제어,무전원 리모콘,,,",협의후 결정,신공정개발,추후 협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
"라이센스,기술지도",섬유 자동공급 장치 기술,00000005174,컨설팅매칭,6개월이내,"표백 및 머서화 가곡의 공정이 단일 공정으로 이루어지며, 별도의 침지조를 필요로 하지 않아 섬유의 연속 전처리가 가능, 균일한 처리를 유지하도록 드웰링장치 처리구간을 포함함","섬유,생산 공정 단축,,,",협의후 결정,"기존제품개선, 기존공정개선",추후 협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
라이센스,자동차 내부 인테리어 및 내장재부품 선진기술,00000005175,컨설팅매칭,6개월이내,새로운 제품 개발을 위하여 자동차 내부의 흡음 미 차음기능을 가진 내장재 제조 기술 탐색 희망,"자동차 내장재,자동차 내부 인테리,,,",협의후 결정,신공정개발,추후 협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
라이센스,자동차 내장재 소재 관련 기술,00000005176,컨설팅매칭,6개월이내,지동차 내 경량 소재로 연비 향상기술 탐색 희망,"자동차 내장용 쿠션,내장재,,,",협의후 결정,신공정개발,추후 협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
